Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
31.73,-8888,0,-8888,-8888,0
31.75,-8888,0,-8888,-8888,0
31.77,-8888,0,-8888,-8888,0
31.8,-8888,0,-8888,-8888,0
31.82,-8888,0,-8888,-8888,0
31.85,-8888,0,-8888,-8888,0
31.88,-8888,0,-8888,-8888,0
31.9,-8888,0,-8888,-8888,0
31.93,-8888,0,-8888,-8888,0
31.95,-8888,0,-8888,-8888,0
31.98,-8888,0,-8888,-8888,0
32,-8888,0,-8888,-8888,0
32.02,-8888,0,-8888,-8888,0
32.05,-8888,0,-8888,-8888,0
32.08,-8888,0,-8888,-8888,0
32.1,-8888,0,-8888,-8888,0
32.13,-8888,0,-8888,-8888,0
32.15,-8888,0,-8888,-8888,0
32.17,-8888,0,-8888,-8888,0
32.2,-8888,0,-8888,-8888,0
32.23,-8888,0,-8888,-8888,0
32.25,-8888,0,-8888,-8888,0
32.27,-8888,0,-8888,-8888,0
32.3,-8888,0,-8888,-8888,0
32.33,-8888,0,-8888,-8888,0
32.35,-8888,0,-8888,-8888,0
32.38,-8888,0,-8888,-8888,0
32.4,-8888,0,-8888,-8888,0
32.42,-8888,0,-8888,-8888,0
32.45,-8888,0,-8888,-8888,0
32.48,-8888,0,-8888,-8888,0
32.5,-8888,0,-8888,-8888,0
32.52,-8888,0,-8888,-8888,0
32.55,-8888,0,-8888,-8888,0
32.58,-8888,0,-8888,-8888,0
32.6,-8888,0,-8888,-8888,0
32.63,-8888,0,-8888,-8888,0
32.65,-8888,0,-8888,-8888,0
32.67,-8888,0,-8888,-8888,0
32.7,-8888,0,-8888,-8888,0
32.73,-8888,0,-8888,-8888,0
32.75,-8888,0,-8888,-8888,0
32.77,-8888,0,-8888,-8888,0
32.8,-8888,0,-8888,-8888,0
32.83,-8888,0,-8888,-8888,0
32.85,-8888,0,-8888,-8888,0
32.88,-8888,0,-8888,-8888,0
32.9,-8888,0,-8888,-8888,0
32.92,-8888,0,-8888,-8888,0
32.95,-8888,0,-8888,-8888,0
32.98,-8888,0,-8888,-8888,0
33,-8888,0,-8888,-8888,0
33.02,-8888,0,-8888,-8888,0
33.05,-8888,0,-8888,-8888,0
33.08,-8888,0,-8888,-8888,0
33.1,-8888,0,-8888,-8888,0
33.13,-8888,0,-8888,-8888,0
33.15,-8888,0,-8888,-8888,0
33.17,-8888,0,-8888,-8888,0
33.2,-8888,0,-8888,-8888,0
33.23,-8888,0,-8888,-8888,0
33.25,-8888,0,-8888,-8888,0
33.27,-8888,0,-8888,-8888,0
33.3,-8888,0,-8888,-8888,0
33.33,-8888,0,-8888,-8888,0
33.35,-8888,0,-8888,-8888,0
33.38,-8888,0,-8888,-8888,0
33.4,-8888,0,-8888,-8888,0
33.42,-8888,0,-8888,-8888,0
33.45,-8888,0,-8888,-8888,0
33.48,-8888,0,-8888,-8888,0
33.5,-8888,0,-8888,-8888,0
33.52,-8888,0,-8888,-8888,0
33.55,-8888,0,-8888,-8888,0
33.58,-8888,0,-8888,-8888,0
33.6,-8888,0,-8888,-8888,0
33.63,-8888,0,-8888,-8888,0
33.65,-8888,0,-8888,-8888,0
33.67,13.41,10.66,-8888,40.42,0
33.7,18.57,16.67,-8888,31.59,0
33.73,18.01,18.64,-8888,13.15,0
33.75,19.32,20.45,-8888,10.59,0
33.77,24.03,22.01,145.35,7.46,0
33.8,22.69,21.9,225.78,7.06,0
33.83,18.97,20.38,210.58,14.52,0
33.85,19.48,19.12,167.9,13.83,0
33.88,18.9,18.31,218.12,17.07,0
33.9,16.54,17.22,266.56,13.05,0
33.92,16.21,16.51,272.07,10.1,0
33.95,16.77,16.42,286.18,-0.29,0
33.98,16.27,17.31,151.04,7.06,0
34,18.91,18.3,107.11,4.91,0
34.02,19.71,20.29,96.57,21.68,0.4
34.05,22.23,21.7,111.83,15.99,0.8
34.08,23.15,23.29,113.5,23.05,1.2
34.1,24.46,24.18,140.36,23.94,1.6
34.13,24.91,25.01,200.68,12.95,2
34.15,25.64,25.43,186.98,18.84,2.4
34.17,25.72,25.2,115.07,59.55,2.8
34.2,24.23,24.11,154.47,47.28,3.2
34.23,22.34,23.47,256.28,32.86,3.6
34.25,23.83,23.11,208.76,18.74,4
34.27,23.13,22.96,247.95,22.17,4.4
34.3,21.89,22.19,177.95,37.38,4.8
34.33,21.53,21.71,193.61,27.08,5.2
34.35,21.69,22.17,185.12,38.55,5.6
34.38,23.26,23.52,121,26.78,6
34.4,25.6,24.8,158.15,18.93,6.4
34.42,25.53,25.2,115.76,13.44,6.8
34.45,24.46,25.58,144.06,33.65,7.2
34.48,26.74,26.56,139.63,59.74,7.6
34.5,28.47,26.43,256.94,36.89,8
34.52,24.06,23.94,337.61,27.96,7.6
34.55,19.27,20.89,199.69,11.28,7.2
34.58,19.34,19.48,201.94,12.85,6.8
34.6,19.81,20.39,182.3,30.21,6.4
34.63,22.02,21.2,155.45,14.13,6
34.65,21.76,22.77,174.92,1.37,5.6
34.67,24.53,24.6,198.94,33.75,5.2
34.7,27.5,26.36,196.98,33.55,4.8
34.73,27.03,27.03,170.68,2.45,4.4
34.75,26.56,25.62,200.57,8.24,4
34.77,23.27,25.12,279.93,9.52,3.6
34.8,25.52,24.29,295.99,7.95,3.2
34.83,24.06,24.12,281.58,11.97,2.8
34.85,22.77,23.08,265.39,9.52,2.4
34.88,22.43,22.39,265.21,-3.53,2
34.9,21.96,22.55,221.91,8.53,1.6
34.92,23.25,22.72,230.24,35.12,1.2
34.95,22.94,22.35,126.88,16.38,0.8
34.98,20.84,21.3,124.95,9.32,0.4
35,20.1,19.69,150.96,21.39,0
35.02,18.13,18.91,136.8,12.85,0.01
35.05,18.48,18.34,154.56,13.34,0.01
35.08,18.4,18.84,145.59,10.4,0.02
35.1,19.65,20.12,175.17,8.24,0.03
35.13,22.3,21.49,201.16,14.52,0.03
35.15,22.53,22.53,222.15,1.67,0.04
35.17,22.76,21.18,243.15,7.65,0.04
35.2,18.27,19.99,258.92,10.69,0.05
35.23,18.94,19.1,322.51,16.78,0.06
35.25,20.08,18.98,320.23,11.58,0.06
35.27,17.9,18.43,181.54,6.38,0.07
35.3,17.3,18.35,238.63,7.95,0.07
35.33,19.85,20.75,289.35,0,0.08
35.35,25.1,22.93,215.6,-1.86,0.09
35.38,23.84,23.61,227.71,22.66,0.09
35.4,21.88,22.29,262.77,4.81,0.1
35.42,21.14,21.01,233.78,5.4,0.11
35.45,20.02,20.89,106.85,8.93,0.11
35.48,21.51,20.85,55.36,-18.34,0.12
35.5,21.01,22.18,62.84,34.92,0.13
35.52,24,22.33,92.88,113.99,0.13
35.55,21.93,22.58,178.56,68.47,0.14
35.58,21.78,21.74,185.59,39.34,0.14
35.6,21.49,21.67,122.7,6.77,0.15
35.63,21.73,21.81,146.94,14.81,0.16
35.65,22.21,21.82,186.41,14.13,0.16
35.67,21.51,22.59,158.05,10.89,0.17
35.7,24.06,22.36,248.97,8.24,0.17
35.73,21.51,22.2,206.47,25.51,0.18
35.75,21.02,21.12,186.84,21.68,0.19
35.77,20.82,21.58,159.47,21.97,0.19
35.8,22.9,22.43,162.89,18.54,0.2
35.83,23.57,24.84,95.43,14.22,0.21
35.85,28.04,26.01,115.55,18.64,0.21
35.88,26.41,24.92,91.82,-0.49,0.22
35.9,20.31,22.78,234.12,21.78,0.23
35.92,21.61,21.72,267.4,15.6,0.23
35.95,23.22,23.2,235.73,11.58,0.24
35.98,24.77,24.19,233.34,19.82,0.24
36,24.58,24.91,248.32,10.69,0.25
36.02,25.38,25.15,225.03,21.68,0.26
36.05,25.47,25.79,116.61,29.33,0.26
36.08,26.51,25.87,207.22,37.77,0.27
36.1,25.63,25.63,212.42,0.98,0.28
36.13,24.75,25.04,217.62,1.37,0.28
36.15,24.74,23.52,222.82,7.26,0.29
36.17,21.06,22.06,215.19,11.87,0.29
36.2,20.38,20.67,254.15,8.93,0.3
36.23,20.57,22.37,320.83,6.87,0.31
36.25,26.17,22.46,183.43,0.78,0.31
36.27,20.65,23.77,135.51,1.47,0.32
36.3,24.48,21.14,277.43,2.55,0.33
36.33,18.28,19.98,178.69,0.59,0.33
36.35,17.17,17.4,92.99,4.02,0.34
36.38,16.76,16.7,51,-0.59,0.34
36.4,16.17,17.75,81.8,-0.2,0.35
36.42,20.34,18.34,200.41,2.26,0.36
36.45,18.52,19.25,325.61,0.78,0.36
36.48,18.9,18.15,320.02,4.02,0.37
36.5,17.02,18.03,227.25,6.67,0.38
36.52,18.16,17.94,256.84,0.69,0.38
36.55,18.63,18.5,235.28,2.94,0.39
36.58,18.71,19.23,240.61,5.89,0.39
36.6,20.33,19.24,262.88,-5,0.4
36.63,18.68,18.86,203.88,5.59,0.41
36.65,17.55,16.58,260.59,6.47,0.41
36.67,13.51,16.57,249.52,0.98,0.42
36.7,18.66,18.53,588.59,3.14,0.42
36.73,23.43,23.53,661.17,7.26,0.43
36.75,28.48,25.83,693.87,7.26,0.44
36.77,25.57,25.58,535.74,10.79,0.44
36.8,22.66,24.04,506.37,18.34,0.45
36.83,23.87,22.67,201.89,2.06,0.46
36.85,21.48,20.99,201.39,2.45,0.46
36.88,17.62,23.46,323.36,2.45,0.47
36.9,31.29,24.93,452.62,4.12,0.47
36.92,25.86,30.1,666.02,5.69,0.48
36.95,33.13,24.94,803.63,6.47,0.49
36.98,15.82,24.08,163.65,-0.49,0.49
37,23.3,19.77,253.02,3.34,0.5
37.02,20.18,23.68,137.07,2.65,0.51
37.05,27.56,22.91,222.5,3.14,0.51
37.08,21,22.55,125.43,3.04,0.52
37.1,19.11,18.77,227.75,2.55,0.53
37.13,16.21,17.89,124.94,1.96,0.53
37.15,18.36,18.02,385.83,8.83,0.54
37.17,19.5,18.82,322.93,3.04,0.54
37.2,18.59,17.94,363.24,3.73,0.55
37.23,15.73,16.24,494.68,9.22,0.56
37.25,14.41,14.82,275.43,3.34,0.56
37.27,14.33,16.08,355.69,1.47,0.57
37.3,19.5,18.15,506.52,13.64,0.57
37.33,20.62,21.38,493.46,18.84,0.58
37.35,23.99,23.23,569.75,10.59,0.59
37.38,25.07,24.2,565.6,9.91,0.59
37.4,23.52,25.21,391.13,26.59,0.6
37.42,27.03,27.68,400.68,26.29,0.61
37.45,32.48,28.59,565.79,26.68,0.61
37.48,26.26,29.51,467.44,2.65,0.62
37.5,29.77,26.87,369.1,3.14,0.63
37.52,24.58,22.82,270.75,7.46,0.63
37.55,14.1,18.83,288.87,3.34,0.64
37.58,17.8,15.01,381.59,9.81,0.64
37.6,13.13,16.61,273.36,3.92,0.65
37.63,18.91,18.91,219.13,2.94,0.66
37.65,24.7,20.9,132.21,3.92,0.66
37.67,19.08,20.91,69.84,1.28,0.67
37.7,18.94,16.24,245.15,3.04,0.68
37.73,10.7,14.5,82.48,2.55,0.68
37.75,13.85,14.93,79.39,-1.18,0.69
37.77,20.22,17.53,130.3,5.49,0.69
37.8,18.51,17.65,221.28,-0.69,0.7
37.83,14.22,16.2,171.11,1.86,0.71
37.85,15.87,16.14,280.96,4.51,0.71
37.88,18.34,17.87,324.6,0.49,0.72
37.9,19.4,19.53,184.31,4.22,0.72
37.92,20.86,20.18,177.01,5.1,0.73
37.95,20.28,20.23,139.92,3.14,0.74
37.98,19.54,19.13,123.03,4.32,0.74
38,17.58,17.21,84.18,3.92,0.75
38.02,14.53,14.9,98.36,2.55,0.76
38.05,12.6,12.23,199.17,3.34,0.76
38.08,9.56,9.58,245.2,3.73,0.77
38.1,6.59,7.65,279.82,3.92,0.78
38.13,6.81,6.73,290.34,5.3,0.78
38.15,6.8,7.47,261.84,5.89,0.79
38.17,8.81,8.03,281.49,6.97,0.79
38.2,8.48,9.34,192.27,5.49,0.8
38.23,10.74,9.97,196.55,4.22,0.81
38.25,10.69,10.44,187.55,4.41,0.81
38.27,9.89,9.63,196.57,5.59,0.82
38.3,8.31,9.49,244.42,5.59,0.82
38.33,10.27,12.52,282.19,7.26,0.83
38.35,18.98,18.18,432.22,11.38,0.84
38.38,25.27,17.74,539.94,13.15,0.84
38.4,8.95,13.47,445.65,6.57,0.85
38.42,6.2,6.21,431.69,7.16,0.86
38.45,3.49,5.64,386.68,3.92,0.86
38.48,7.24,6.13,363.33,4.02,0.87
38.5,7.66,6.35,323.17,4.12,0.88
38.52,4.15,5.35,345.58,-3.34,0.88
38.55,4.25,4.25,368,7.75,0.89
38.58,4.34,4.88,278.38,5.49,0.89
38.6,6.04,6.41,337.83,5.4,0.9
38.63,8.84,9.82,120.69,5.49,0.91
38.65,14.56,12.39,244.39,1.96,0.91
38.67,13.77,13.1,141.59,1.86,0.92
38.7,10.97,13.24,140.77,4.02,0.93
38.73,14.97,11.93,139.94,2.55,0.93
38.75,9.84,11.34,198.41,0.88,0.94
38.77,9.2,9.2,259.87,0.78,0.94
38.8,8.56,8.17,321.34,2.75,0.95
38.83,6.76,7.75,400.43,3.04,0.96
38.85,7.93,6.68,443.57,4.51,0.96
38.88,5.35,9.17,439.35,3.34,0.97
38.9,14.23,15.12,656.12,5.4,0.97
38.92,25.76,18.8,762.44,5.69,0.98
38.95,16.4,16.4,557.58,4.41,0.99
38.98,7.03,11.19,352.72,2.94,0.99
39,10.13,12.04,434.79,3.73,1
39.02,18.95,15.97,279.38,2.55,0.97
39.05,18.81,18.89,441.6,3.83,0.95
39.08,18.91,15.06,533.72,3.63,0.93
39.1,7.46,12.92,320.86,2.55,0.9
39.13,12.39,9.53,175.93,1.96,0.88
39.15,8.75,10.7,45.57,0.88,0.85
39.17,10.96,12.38,28.44,0.88,0.82
39.2,17.45,14.75,74.14,1.57,0.8
39.23,15.83,15.83,47.05,0.39,0.78
39.25,14.22,10.02,19.97,0.88,0.75
39.28,0,4.74,0,-8888,0.72
39.3,0,0,0,-8888,0.7
39.33,0,0,0,-8888,0.67
39.35,0,0,0,-8888,0.65
39.38,-8888,0,-8888,-8888,0.62
39.4,-8888,0,-8888,-8888,0.6
39.43,-8888,0,-8888,-8888,0.57
39.45,-8888,0,-8888,-8888,0.55
39.48,-8888,0,-8888,-8888,0.52
39.5,-8888,0,-8888,-8888,0.5
39.53,-8888,0,-8888,-8888,0.47
39.55,-8888,0,-8888,-8888,0.45
39.58,-8888,0,-8888,-8888,0.42
39.6,-8888,0,-8888,-8888,0.4
39.63,-8888,0,-8888,-8888,0.37
39.65,-8888,0,-8888,-8888,0.35
39.68,-8888,0,-8888,-8888,0.32
39.7,-8888,0,-8888,-8888,0.3
39.73,-8888,0,-8888,-8888,0.27
39.75,-8888,0,-8888,-8888,0.25
39.78,-8888,0,-8888,-8888,0.22
39.8,-8888,0,-8888,-8888,0.2
39.83,-8888,0,-8888,-8888,0.17
39.85,-8888,0,-8888,-8888,0.15
39.88,-8888,0,-8888,-8888,0.12
39.9,-8888,0,-8888,-8888,0.1
39.93,-8888,0,-8888,-8888,0.07
39.95,-8888,0,-8888,-8888,0.05
39.98,-8888,0,-8888,-8888,0.02
40,-8888,0,-8888,-8888,0
