Depth (m),qc (MPa),qt (MPa),fs (kPa),u (kPa),u0 (kPa)
4.88,1.73,2.14,82.45,3.73,1.69
4.9,2.66,2.71,83.43,9.12,1.7
4.92,3.72,3.2,63.62,13.05,1.71
4.95,3.22,3.38,67.13,10.5,1.73
4.97,3.19,3.47,79.08,9.52,1.74
5,3.99,3.74,56.14,15.5,1.75
5.03,4.03,3.68,52.03,12.16,1.76
5.05,3.01,3.23,63.25,9.61,1.77
5.08,2.63,2.67,60.15,10.4,1.79
5.1,2.35,2.42,65.47,10.4,1.8
5.13,2.29,2.18,53.06,12.26,1.81
5.15,1.9,2.82,69.46,12.95,1.82
5.17,4.27,3.62,73.67,16.19,1.84
5.2,4.68,5.54,80.09,12.85,1.85
5.22,7.67,7.26,57.63,13.34,1.86
5.25,9.42,8.55,62.94,12.36,1.88
5.28,8.57,8.57,75.78,4.91,1.89
5.3,7.72,8.14,192.77,16.58,1.9
5.33,8.13,8.01,139.47,3.24,1.91
5.35,8.16,7.84,36.31,0.39,1.93
5.38,7.23,6.84,20.73,0.39,1.94
5.4,5.13,5.59,15.94,4.61,1.95
5.42,4.4,4.82,52.99,8.14,1.96
5.45,4.93,4.97,68.03,6.87,1.98
5.47,5.58,5.11,65.42,8.53,1.99
5.5,4.83,6.18,69.21,9.03,2
5.53,8.13,8.38,105.37,16.38,0
5.55,12.19,6.77,130.53,1.86,0
5.58,0,4.06,0,-8888,0
5.6,0,0,0,-8888,0
5.63,0,0,0,-8888,0
5.65,0,0,0,-8888,0
5.67,-8888,0,-8888,-8888,0
5.7,-8888,0,-8888,-8888,0
5.72,-8888,0,-8888,-8888,0
5.75,-8888,0,-8888,-8888,0
5.78,-8888,0,-8888,-8888,0
5.8,-8888,0,-8888,-8888,0
5.83,-8888,0,-8888,-8888,0
5.85,-8888,0,-8888,-8888,0
5.88,-8888,0,-8888,-8888,0
5.9,-8888,0,-8888,-8888,0
5.92,-8888,0,-8888,-8888,0
5.95,-8888,0,-8888,-8888,0
5.97,-8888,0,-8888,-8888,0
6,-8888,0,-8888,-8888,0
6.03,-8888,0,-8888,-8888,0
6.05,-8888,0,-8888,-8888,0
6.08,-8888,0,-8888,-8888,0
6.1,-8888,0,-8888,-8888,0
6.13,-8888,0,-8888,-8888,0
6.15,-8888,0,-8888,-8888,0
6.17,-8888,0,-8888,-8888,0
6.2,-8888,0,-8888,-8888,0
6.22,-8888,0,-8888,-8888,0
6.25,-8888,0,-8888,-8888,0
6.28,-8888,0,-8888,-8888,0
6.3,-8888,0,-8888,-8888,0
6.33,-8888,0,-8888,-8888,0
6.35,-8888,0,-8888,-8888,0
6.38,-8888,0,-8888,-8888,0
6.4,-8888,0,-8888,-8888,0
6.42,-8888,0,-8888,-8888,0
6.45,-8888,0,-8888,-8888,0
6.47,-8888,0,-8888,-8888,0
6.5,-8888,0,-8888,-8888,0
6.53,-8888,0,-8888,-8888,0
6.55,-8888,0,-8888,-8888,0
6.58,-8888,0,-8888,-8888,0
6.6,-8888,0,-8888,-8888,0
6.63,-8888,0,-8888,-8888,0
6.65,-8888,0,-8888,-8888,0
6.67,-8888,0,-8888,-8888,0
6.7,-8888,0,-8888,-8888,0
6.72,-8888,0,-8888,-8888,0
6.75,-8888,0,-8888,-8888,0
6.78,-8888,0,-8888,-8888,0
6.8,-8888,0,-8888,-8888,0
6.83,-8888,0,-8888,-8888,0
6.85,-8888,0,-8888,-8888,0
6.88,-8888,0,-8888,-8888,0
6.9,-8888,0,-8888,-8888,0
6.92,-8888,0,-8888,-8888,0
6.95,-8888,0,-8888,-8888,0
6.97,-8888,0,-8888,-8888,0
7,-8888,0,-8888,-8888,0
7.03,-8888,0,-8888,-8888,0
7.05,-8888,0,-8888,-8888,0
7.08,-8888,0,-8888,-8888,0
7.1,-8888,0,-8888,-8888,0
7.13,-8888,0,-8888,-8888,0
7.15,-8888,0,-8888,-8888,0
7.17,-8888,0,-8888,-8888,0
7.2,-8888,0,-8888,-8888,0
7.22,-8888,0,-8888,-8888,0
